Ticker,Combined_Accuracy,RF_Accuracy,XGB_Accuracy
LKOR,0.7777777777777778,0.7777777777777778,0.7777777777777778
DTYL,0.7727272727272727,0.7272727272727273,0.8181818181818182
AMTD,0.7170542635658914,0.7209302325581395,0.7131782945736435
TAPR,0.6779661016949152,0.6779661016949152,0.6779661016949152
RDIB,0.6685082872928176,0.6850828729281768,0.6519337016574586
APDN,0.6679184549356223,0.6759656652360515,0.6598712446351931
CNFR,0.65625,0.625,0.6875
FMHI,0.652061855670103,0.6701030927835051,0.634020618556701
BKYI,0.6514550264550265,0.6587301587301587,0.6441798941798942
HMNY,0.6485294117647058,0.6705882352941176,0.6264705882352941
